ID;TIPO_MANO;TIPO_DEDO;ALTURA;RUTA_SONIDO;
1;0;4;0;./Sounds/Util/-1/39175__jobro__piano-ff-028.wav;
2;0;3;0;./Sounds/Util/-1/39175__jobro__piano-ff-030.wav;
3;0;2;0;./Sounds/Util/-1/39175__jobro__piano-ff-032.wav;
4;0;1;0;./Sounds/Util/-1/39175__jobro__piano-ff-033.wav;
5;1;1;0;./Sounds/Util/-1/39175__jobro__piano-ff-035.wav;
6;1;2;0;./Sounds/Util/-1/39175__jobro__piano-ff-037.wav;
7;1;3;0;./Sounds/Util/-1/39175__jobro__piano-ff-039.wav;
8;1;4;0;./Sounds/Util/-1/39175__jobro__piano-ff-040.wav;
9;0;4;130;./Sounds/Util/0/39175__jobro__piano-ff-040.wav;
10;0;3;130;./Sounds/Util/0/39175__jobro__piano-ff-042.wav;
11;0;2;130;./Sounds/Util/0/39175__jobro__piano-ff-044.wav;
12;0;1;130;./Sounds/Util/0/39175__jobro__piano-ff-045.wav;
13;1;1;130;./Sounds/Util/0/39175__jobro__piano-ff-047.wav;
14;1;2;130;./Sounds/Util/0/39175__jobro__piano-ff-049.wav;
15;1;3;130;./Sounds/Util/0/39175__jobro__piano-ff-051.wav;
16;1;4;130;./Sounds/Util/0/39175__jobro__piano-ff-052.wav;
17;0;4;210;./Sounds/Util/1/39175__jobro__piano-ff-052.wav;
18;0;3;210;./Sounds/Util/1/39175__jobro__piano-ff-054.wav;
19;0;2;210;./Sounds/Util/1/39175__jobro__piano-ff-056.wav;
20;0;1;210;./Sounds/Util/1/39175__jobro__piano-ff-057.wav;
21;1;1;210;./Sounds/Util/1/39175__jobro__piano-ff-059.wav;
22;1;2;210;./Sounds/Util/1/39175__jobro__piano-ff-061.wav;
23;1;3;210;./Sounds/Util/1/39175__jobro__piano-ff-063.wav;
24;1;4;210;./Sounds/Util/1/39175__jobro__piano-ff-064.wav;
